date,origin,destination,vessel_type,freight_rate_usd_tonne,voyage_days,source
2026-06-01,Australia,Paradip,Panamax,15.8,24,Synthetic
2026-06-08,Australia,Paradip,Panamax,16.1,24,Synthetic
2026-06-15,Australia,Paradip,Panamax,15.6,25,Synthetic
2026-06-22,Australia,Paradip,Panamax,16.4,24,Synthetic
2026-06-29,Australia,Paradip,Panamax,16.8,24,Synthetic
2026-07-06,Australia,Paradip,Panamax,16.2,24,Synthetic
2026-07-13,Australia,Paradip,Panamax,16.5,24,Synthetic
2026-07-20,Australia,Paradip,Panamax,17.1,23,Synthetic
2026-07-27,Australia,Paradip,Panamax,16.7,24,Synthetic
2026-08-03,Australia,Paradip,Panamax,16.3,24,Synthetic
2026-08-10,Australia,Paradip,Panamax,16.9,24,Synthetic
2026-08-17,Australia,Paradip,Panamax,17.3,23,Synthetic
2026-08-24,Australia,Paradip,Panamax,16.8,24,Synthetic
2026-08-31,Australia,Paradip,Panamax,17.2,24,Synthetic
2026-09-07,Australia,Paradip,Panamax,17.6,23,Synthetic
2026-06-01,Indonesia,Vizag,Supramax,12.9,18,Synthetic
2026-06-15,Indonesia,Vizag,Supramax,13.2,18,Synthetic
2026-07-01,Indonesia,Vizag,Supramax,13.1,18,Synthetic
2026-07-15,Indonesia,Vizag,Supramax,13.6,18,Synthetic
2026-08-01,Indonesia,Vizag,Supramax,13.8,18,Synthetic
2026-08-15,Indonesia,Vizag,Supramax,13.5,18,Synthetic
2026-09-01,Indonesia,Vizag,Supramax,14.0,18,Synthetic
2026-06-01,Mozambique,Gangavaram,Panamax,14.4,22,Synthetic
2026-06-15,Mozambique,Gangavaram,Panamax,14.9,22,Synthetic
2026-07-01,Mozambique,Gangavaram,Panamax,15.2,22,Synthetic
2026-07-15,Mozambique,Gangavaram,Panamax,15.0,22,Synthetic
2026-08-01,Mozambique,Gangavaram,Panamax,15.5,22,Synthetic
2026-08-15,Mozambique,Gangavaram,Panamax,15.7,22,Synthetic
2026-09-01,Mozambique,Gangavaram,Panamax,16.0,22,Synthetic
